Name,URL,Category
Sidebar,http://sidebar.io/,Design
UX Design Weekly,http://uxdesignweekly.com/,Design
The UX Newsletter,http://www.theuxnewsletter.com/,Design
Inbox Pixels,http://inboxpixels.com/,Design
Hack Design,https://hackdesign.org/,Design
Requests for Startups,http://www.requestsforstartups.com/,Entrepreneurship 
The Mattermark Daily,http://mattermark.com/newsletters/,Entrepreneurship 
Curated,https://startupfoundation.curated.co/,Entrepreneurship 
Foundcy,http://foundcy.com/,Entrepreneurship 
Startup Digest,https://www.startupdigest.com/,Entrepreneurship 
Baremetrics Dispatch,http://dispatch.baremetrics.com/,Entrepreneurship 
Founder Weekly,http://www.founderweekly.com/,Entrepreneurship 
Penguin: Think Smarter,http://www.penguin.co.uk/editorial/think-smarter/,Ideas
BuzzFeed: Dude A Day,http://www.buzzfeed.com/tools/email/,Internet
BuzzFeed: This Week In Cats,http://www.buzzfeed.com/tools/email/,Internet 
HighBrow,http://gohighbrow.com/,Learning
Think With Google,https://getsubscriptions.withgoogle.com/newsletter/thinkwithgoogle/signup,Marketing
MediaREDEF,http://link.mediaredefined.com/join/353/media-redefweb,Tech
MicCheck Daily,http://miccheck.mic.com/?utm_source=Mic+Check&utm_campaign=d89748ae07-Debate_dedicated_for_Nov_1411_13_2015&utm_medium=email&utm_term=0_51f2320b33-d89748ae07-285277737,News
The Guardian Today,https://profile.theguardian.com/signin?returnUrl=https%3A%2F%2Fprofile.theguardian.com%2Femail-prefs,News
TIME: The Brief,http://ebm.cheetahmail.com/r/regf2?a=0&aid=1078532063&n=1&TIME_SOURCE=header_tout,News
MediaShift Daily,http://mediashift.org/newsletters/,News
The Quartz Daily Brief,http://qz.com/daily-brief/,News
NYTNow Morning Briefing,http://www.nytimes.com/newsletters/nyt-now-morning-briefing?pgtype=subscriptionspage&version=news&contentId=NN&eventName=signup&module=newsletter-sign-up&region=button,News
NYT Today's Headlines,http://www.nytimes.com/newsletters/todaysheadlines?pgtype=subscriptionspage&version=news&contentId=TH&eventName=signup&module=newsletter-sign-up&region=button,News
NYT: The Upshot,http://www.nytimes.com/newsletters/upshot?pgtype=subscriptionspage&version=news&contentId=UP&eventName=signup&module=newsletter-sign-up&region=button,News
NYT: New York Today,http://www.nytimes.com/newsletters/newyorktoday?pgtype=subscriptionspage&version=news&contentId=UR&eventName=signup&module=newsletter-sign-up&region=button,News
NYT: First Draft,http://www.nytimes.com/newsletters/politics?pgtype=subscriptionspage&version=news&contentId=CN&eventName=signup&module=newsletter-sign-up&region=headline,News
Al-Monitor,http://www.al-monitor.com/pulse/newsletter-signup#,News
Vox Sentences,http://www.vox.com/newsletters,News
Atlantic Daily,http://www.theatlantic.com/follow-the-atlantic/,News
This Month in The Atlantic,http://www.theatlantic.com/follow-the-atlantic/,News
ProPublica,https://www.propublica.org/forms/newsletter_daily_email,News
Foreign Policy: Editor's Picks,http://fpgroup.foreignpolicy.com/fp-newsletters/,News
Foriegn Policy: Flash Points,http://fpgroup.foreignpolicy.com/fp-newsletters/,News
NextDraft,http://nextdraft.com/,News
NiemanLab: The Daily Digest,http://www.niemanlab.org/subscribe/,News
Muck Rack Daily,http://muckrack.com/daily/email,News
Tablet,http://www.tabletmag.com/subscribe,News
Pacific Standard,http://www.psmag.com/page/newsletter,News
Pew Research: Media News,http://www.pewresearch.org/follow-us/,News
Pew Research: Weekly Roundup,http://www.pewresearch.org/follow-us/,News
Religion News Service,http://www.religionnews.com/get-rns-inbox/,News
BuzzFeed: News,http://www.buzzfeed.com/tools/email/,News
Re/code Daily,http://recode.net/newsletters/subscribe/,News
Lenny,http://www.lennyletter.com/,News
The Skimm,http://www.theskimm.com/,News
Digiday Daily,http://digiday.com/subscribe/,News
WNYC: Morning Brief,http://wnyc.us5.list-manage.com/subscribe?u=4109fdd323aaac7078eadaa8f&id=edd6b58c0d,News
The Ann Friedman Weekly,http://www.annfriedman.com/weekly,News
Longreads Weekly,http://longreads.com/subscribe/,News
The Podcast Wire,http://www.thepodcastwire.com/,Podcasts
Hot Pod,https://tinyletter.com/hotpod,Podcasts
James Clear,http://jamesclear.com/newsletter,Productivity
Remotive,http://remotive.io/,Productivity
The Ed's Up,http://tinyletter.com/edyong209,Science
The NeuroTransmitter,http://gainesonbrains.us8.list-manage.com/subscribe?u=3f8148d7435f34aa9e0de0900&id=ed78a80d42,Science/Brain
Refinery29,http://www.refinery29.com/signup,Style
Hacker News,http://www.hackernewsletter.com/,Tech
Charged,http://char.gd/,Tech
iOS Dev Weekly,http://iosdevweekly.com/,Tech
New Thinking,http://www.gerrymcgovern.com/new-thinking,Web/Marketing
